step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,17,1,0.3353444650489837,0.0,0.0,0.311357883810997,0.0,0.0,,,,,,
2,34,2,0.5934008543402888,0.0,0.0,,,,,,,,,
3,51,3,0.363925444111228,0.0,0.0,,,,,,,,,
4,68,4,0.35484320617280896,0.0,0.0,,,,,,,,,
5,85,5,0.2671143177710473,0.0,0.0,,,,,,,,,
6,94,6,0.47211278408765794,0.0,0.0,,,,,,,,,
7,111,7,0.09875021331012249,0.0,0.0,,,,,,,,,
8,128,8,0.12622520438104404,0.0,0.0,,,,,,,,,
9,161,9,0.053978660359862256,0.0,0.0,0.13162101171910764,0.0,0.0,,,,,,
10,178,10,0.09539016824215651,0.0,0.0,,,,,,,,,
11,195,11,0.10717003799043595,0.0,0.0,,,,,,,,,
12,212,12,0.10163023276254535,0.0,0.0,,,,0.3333333432674408,0.3333333333333333,1.0,1.0,1.0,0.5
13,229,13,0.03958275479264557,1.0,1.0,,,,,,,,,
14,246,14,0.040664856657385826,1.0,1.0,,,,,,,,,
15,263,15,0.11684217691421508,0.0,0.0,,,,,,,,,
16,296,16,0.07353768730477896,0.0,0.0,,,,,,,,,
17,313,17,0.15060458563268186,0.0,0.0,0.10612813498824836,0.0,0.0,,,,,,
18,330,18,0.03150925850495696,1.0,1.0,,,,,,,,,
19,339,19,0.07513133630156518,1.0,1.0,,,,,,,,,
20,356,20,0.028172942546661944,1.0,1.0,,,,,,,,,
21,373,21,0.09309401918202638,0.0,0.0,,,,,,,,,
22,390,22,0.03545406845107209,1.0,1.0,,,,,,,,,
23,407,23,0.02472180665936321,1.0,1.0,,,,,,,,,
24,424,24,0.03742338232696056,1.0,1.0,,,,0.6666666865348816,0.5,1.0,0.5,0.25,0.6666666666666666
25,457,25,0.03298246054386254,1.0,1.0,0.057394612487405544,1.0,1.0,,,,,,
26,474,26,0.036704199220985174,1.0,1.0,,,,,,,,,
27,483,27,0.049003758840262895,1.0,1.0,,,,,,,,,
28,500,28,0.031063436034019103,1.0,1.0,,,,,,,,,
29,517,29,0.02736713582300581,1.0,1.0,,,,,,,,,
30,534,30,0.02097705937747378,1.0,1.0,,,,,,,,,
31,551,31,0.019395866747945547,1.0,1.0,,,,,,,,,
32,568,32,0.06052371725440025,1.0,1.0,,,,,,,,,
33,585,33,0.022965671615675094,1.0,1.0,0.03884030575864017,1.0,1.0,,,,,,
34,602,34,0.020740557116805575,1.0,1.0,,,,,,,,,
35,611,35,0.04583420911803842,1.0,1.0,,,,,,,,,
36,628,36,0.019136711796745656,1.0,1.0,,,,0.3333333432674408,0.0,0.0,0.5,0.25,0.0
37,645,37,0.03632446251809597,1.0,1.0,,,,,,,,,
38,662,38,0.02156294380547479,1.0,1.0,,,,,,,,,
39,679,39,0.021524623138830065,1.0,1.0,,,,,,,,,
40,696,40,0.024478594827232886,1.0,1.0,,,,,,,,,
41,713,41,0.029516004605538913,1.0,1.0,0.2286085167899728,0.0,0.0,,,,,,
42,730,42,0.020080061267653944,1.0,1.0,,,,,,,,,
43,763,43,0.02254146607941948,1.0,1.0,,,,,,,,,
44,780,44,0.030249619949609043,1.0,1.0,,,,,,,,,
45,797,45,0.020415466555277817,1.0,1.0,,,,,,,,,
46,814,46,0.030249619949609043,1.0,1.0,,,,0.3333333432674408,0.0,0.0,0.5,0.25,0.0

